playlist_id,track_id,title,artists,artist_ids,preview_url,album,cover_url,danceability,energy,valence,tempo,acousticness,instrumentalness,liveness,loudness,speechiness,key,mode,time_signature,track_popularity,release_date,cluster,mood
5FP1lEjrnBdN3hrhsTJkVx,690V4j1eiTPyhWeWvuhv2H,Ru Ra,Sanjula himala,7yn5qtJ1n0HkQh0K2LQLWr,https://p.scdn.co/mp3-preview/990bba6a6f7ee4678f0b20641d9ed935439ea871?cid=ff14a0bc7f824e879d94d30736b0a1ac,Ru Ra,https://i.scdn.co/image/ab67616d0000b2737bacc27fb1bb2b35a8704a86,0.339,0.541,0.295,75.247,0.755,3.73e-06,0.092,-8.392,0.0463,9,0,4,0,2021-10-28,8,Upset
5FP1lEjrnBdN3hrhsTJkVx,1Sg9NkLpXz18Bkb93t6DPJ,Adare Ma Namin,"Piyath Rajapakse, Lahiru De Costa, Sandani Fernando","2p59mmRUY5z4P2GGYd8a9a, 6JiVW8Qn2R8vK1bHy6VAp1, 11b8tSylCklGvkBn4a2yp0",https://p.scdn.co/mp3-preview/8e9618c0875938fb3541ab065cd7ea6b987716a7?cid=ff14a0bc7f824e879d94d30736b0a1ac,Adare Ma Namin,https://i.scdn.co/image/ab67616d0000b273c118a227d83818d96b7d919c,0.655,0.378,0.679,164.016,0.82,0.268,0.131,-8.113,0.0705,10,1,4,40,2022-02-10,5,Thoughtful
5FP1lEjrnBdN3hrhsTJkVx,60pjm8kP6STQksXgf7y2Uv,Manali,"Windy Goonatillake, SANUKA","5ZytAAlFTBsWXrqbve4qnt, 6FD5oL7fAbrg43q0bcbWhe",https://p.scdn.co/mp3-preview/49c0c3a81b57be9d6852ca4e941ad4dcad65275f?cid=ff14a0bc7f824e879d94d30736b0a1ac,Manali,https://i.scdn.co/image/ab67616d0000b27350fc5abc035ac38fd7e81836,0.723,0.646,0.583,134.872,0.313,0.00114,0.156,-7.659,0.0478,3,0,4,29,2022-03-30,3,Calm
5FP1lEjrnBdN3hrhsTJkVx,4GBY59Q7gS5jwYAeaBo9tm,Ambare,Mahiru Senarathne,3Od0SSFki2d6U1jnmoUaBC,https://p.scdn.co/mp3-preview/ca2a267ac8047881f0c5de241d7f95f7648b27e7?cid=ff14a0bc7f824e879d94d30736b0a1ac,Ambare,https://i.scdn.co/image/ab67616d0000b273e19fbc3c00ac774f250e2f7d,0.313,0.221,0.155,138.817,0.857,0.167,0.136,-16.174,0.0302,3,1,3,22,2022-06-16,6,Melancholic
5FP1lEjrnBdN3hrhsTJkVx,0tpKlAungiQraTaVMFA657,Hamuwe Mathuda,"Chathura Herath, Rashan Balasooriya","5JPIOYsRaP0QpRY9QNzMcl, 7y9m5o4dJ6jmxeUqYo9azF",https://p.scdn.co/mp3-preview/c050bb4327986297185a2b54e357fafe1263f40c?cid=ff14a0bc7f824e879d94d30736b0a1ac,Hamuwe Mathuda,https://i.scdn.co/image/ab67616d0000b27372d48babae73bf5b69e0324d,0.356,0.369,0.142,143.799,0.667,0.000627,0.105,-15.993,0.0452,9,1,4,2,2021-10-15,6,Melancholic
5FP1lEjrnBdN3hrhsTJkVx,5VZMdMKHg9bbuOGBparTKp,Lawandiye,Chathum Dulara,2szhCD9ClpXgsI1LnK4HFi,https://p.scdn.co/mp3-preview/48ca4cb49ca4b44d597fabeeb240a4a63405da28?cid=ff14a0bc7f824e879d94d30736b0a1ac,Lawandiye,https://i.scdn.co/image/ab67616d0000b273f1c08ac69ec66bec1231d046,0.68,0.414,0.573,133.866,0.348,0.00014,0.217,-8.95,0.0269,5,1,4,2,2022-07-29,3,Calm
5FP1lEjrnBdN3hrhsTJkVx,2DUXQr4PiQVZKuH6mz9Bdz,Indrachaya,Vimukthi Dilshan Silva,4Ixh8tdt24uqXOdxLimAej,https://p.scdn.co/mp3-preview/4594c0df313f2c8e44b3705ae8445d75555a6677?cid=ff14a0bc7f824e879d94d30736b0a1ac,Indrachaya,https://i.scdn.co/image/ab67616d0000b27336ba698384cb8e3372d995fe,0.522,0.436,0.601,148.03,0.666,0.000683,0.0916,-12.254,0.0385,6,1,4,0,2022-02-25,6,Melancholic
5FP1lEjrnBdN3hrhsTJkVx,3AGIoNBGqNDFcvoUMjf54R,Seelayan,"Hiranya Neththasinghe, The Tedy, Buddhi Sandeepa","1bd4EBgcqo1XXFNccOxdFl, 5NZYxLlR7xWY1c5wpcLNf8, 6SDV29KmDFbJfTMtxUJ9ZO",https://p.scdn.co/mp3-preview/950c686f439198d8702bdda0879877e31914b483?cid=ff14a0bc7f824e879d94d30736b0a1ac,Seelayan,https://i.scdn.co/image/ab67616d0000b273f50b1daff3e56a5383b15214,0.592,0.455,0.443,140.015,0.443,0.000312,0.0814,-13.148,0.0519,7,0,4,0,2022-06-24,9,Sad
5FP1lEjrnBdN3hrhsTJkVx,4iUlmWXTES2dybcvkH9eHe,Ma Dutuwa,"Mudriq, Buddhi Sandeepa, Knoize","36OIhD1dzo9jaZ0narmQ9h, 6SDV29KmDFbJfTMtxUJ9ZO, 26endIpgzg8XqpYxgYEph2",https://p.scdn.co/mp3-preview/cbf4f328d8c13b1246c7fa1c7d3490cd1642f08b?cid=ff14a0bc7f824e879d94d30736b0a1ac,Ma Dutuwa,https://i.scdn.co/image/ab67616d0000b273c0b0f6c8281dbcc244ebea7d,0.195,0.223,0.0862,73.217,0.928,0.0188,0.0956,-18.665,0.0383,9,0,4,0,2022-09-28,8,Upset
5FP1lEjrnBdN3hrhsTJkVx,6muwwLYr5Hg0QfdamH4ZEx,Viramaye,"Ridma Weerawardena, Thilina Boralessa","03lEcjt6I9zmO8g0tJi4zT, 4hqT0yZZSjquEWV6ugrdVP",https://p.scdn.co/mp3-preview/8ca95c07349e69fdede716659b4501125abdb9d0?cid=ff14a0bc7f824e879d94d30736b0a1ac,Viramaye,https://i.scdn.co/image/ab67616d0000b27353388f718bc5d58d409554cc,0.375,0.483,0.273,95.75,0.605,7.99e-05,0.0673,-9.515,0.037,1,1,5,22,2022-02-26,8,Upset
5FP1lEjrnBdN3hrhsTJkVx,1lZLtkHlAVF0iBdkNUkLt2,Unmada Prema Geeya,"Bathiya & Santhush, Yohani, Kaizer Kaiz","4qOcN0iWp8vs7OBhxzHY8Q, 6hyCmqlpgEhkMKKr65sFgI, 79GTGDgSIN8i5DAngINh7k",https://p.scdn.co/mp3-preview/3f9d0edb51eca175a4463dc9814de98c405ad7c3?cid=ff14a0bc7f824e879d94d30736b0a1ac,Unmada Prema Geeya,https://i.scdn.co/image/ab67616d0000b273569e81f7ce850de2f953bee2,0.752,0.677,0.683,179.942,0.139,0.000236,0.0543,-7.629,0.126,0,1,4,30,2021-12-10,7,Worried
5FP1lEjrnBdN3hrhsTJkVx,26MhmSydPGGhhdy5VyBsJV,Manabandu Karanawak,Yuki Navaratne,00ZpGGB5F7Ytw781Qsr1sR,https://p.scdn.co/mp3-preview/be28f081e8a99a3c9b8fee8d2cf34d2c2a36d750?cid=ff14a0bc7f824e879d94d30736b0a1ac,Manabandu Karanawak,https://i.scdn.co/image/ab67616d0000b273823dc4b8934f7b03e4250778,0.569,0.39,0.241,180.145,0.347,0.122,0.124,-15.323,0.0915,10,0,4,0,2022-01-08,5,Thoughtful
5FP1lEjrnBdN3hrhsTJkVx,6FfZsUngPj9cUPGqG4Dnss,Meka Aware,"Tharuka Gunarathne, Sadeeptha","4yRhsZ8F0VT1S1fHRtoEso, 1Y1NbR8YoZgBEWczlgfIq8",https://p.scdn.co/mp3-preview/5ede2c52811f7d90755871ff549a434a89baa996?cid=ff14a0bc7f824e879d94d30736b0a1ac,Meka Aware,https://i.scdn.co/image/ab67616d0000b27394e54229928b3f877d9a7f66,0.43,0.768,0.509,79.925,0.0866,2.42e-05,0.681,-7.262,0.319,7,1,4,1,2022-01-14,8,Upset
5FP1lEjrnBdN3hrhsTJkVx,1cWpRbids9rbZ3HUHxol37,Latin Kankaariya,"Charitha Attalage, Hashani Wasana","65U1qIqriL4ZawzjoMX1QP, 2W4dVJMl0Wt5pNckJlm2z4",https://p.scdn.co/mp3-preview/8da0b39a674b3431664ca24d05033c431f310c5f?cid=ff14a0bc7f824e879d94d30736b0a1ac,Latin Kankaariya,https://i.scdn.co/image/ab67616d0000b273cf3e8b9a41f9cfefff556015,0.777,0.683,0.785,109.051,0.228,0.0548,0.0558,-8.623,0.0397,10,0,4,28,2021-12-19,0,Happy
5FP1lEjrnBdN3hrhsTJkVx,0KhbsQkUeVErDzElMRdZMG,Sanda Wage Pena,"Hana Shafa, Dilo","7occ8YAUAF3XJbC3uCq1iL, 7lrGPpmDUbhyg2DE8dD8cJ",https://p.scdn.co/mp3-preview/7cc251bb02ec4a2bc40e07a77e74c16e45a7d083?cid=ff14a0bc7f824e879d94d30736b0a1ac,Sanda Wage Pena,https://i.scdn.co/image/ab67616d0000b27319611187dd3380c5ee170334,0.868,0.731,0.741,100.026,0.422,1.36e-05,0.345,-5.565,0.086,4,0,4,39,2021-11-24,0,Happy
5FP1lEjrnBdN3hrhsTJkVx,20m6BMf4o8OegDW6dSirDK,Kanna,"Stereomiinds, Kusal Lakshan, Nipuni Herath","24OHgf3gPyP5DomDcDVu8T, 2cFwdyZSdgOS1o3zU5NzM4, 2jJNXKV8EVepbVOKgpxK5P",https://p.scdn.co/mp3-preview/411b79db80e86268c35d3b25b8caccb893720b7e?cid=ff14a0bc7f824e879d94d30736b0a1ac,Kanna,https://i.scdn.co/image/ab67616d0000b273d63750b9c8588dea78ff22f4,0.668,0.717,0.659,95.055,0.116,2.39e-06,0.245,-7.371,0.0619,6,0,4,4,2022-03-05,4,Neutral
5FP1lEjrnBdN3hrhsTJkVx,5DlhGsWeIZvUyfD5ElncVm,Man Soyana,"Dilenka Vishwarangi, Mahiru Senarathne","4aECumBzGNKhRrXBfJWBoX, 3Od0SSFki2d6U1jnmoUaBC",https://p.scdn.co/mp3-preview/97dbe94b20d3019e55d3e17cf80c2248f2dbcefd?cid=ff14a0bc7f824e879d94d30736b0a1ac,Man Soyana,https://i.scdn.co/image/ab67616d0000b2736cba693b1ca0770bd2a29b19,0.408,0.332,0.167,75.388,0.81,0.0186,0.0864,-13.837,0.0321,4,1,4,9,2022-01-28,8,Upset
5FP1lEjrnBdN3hrhsTJkVx,3hA3LQr2XqOsfcDjUqOa4N,Akasa Bindu,Sanka Dineth,1Uqk24JsikzOJO5gHx9AJG,https://p.scdn.co/mp3-preview/f6fb53fdc16d065e15a33924a0442241c576a77c?cid=ff14a0bc7f824e879d94d30736b0a1ac,Akasa Bindu,https://i.scdn.co/image/ab67616d0000b2737981585f09cd5955ac2e1024,0.534,0.428,0.302,121.371,0.777,0.00631,0.0802,-9.223,0.0316,0,0,4,10,2022-05-01,9,Sad
5FP1lEjrnBdN3hrhsTJkVx,709lDVpEa99fPyB9rCNRfw,Pem Sina,"Tone Sparks, Hiranya Neththasinghe","5BxPeQcJWljXk5u8dlELoc, 1bd4EBgcqo1XXFNccOxdFl",https://p.scdn.co/mp3-preview/741d74d1d3b10c66fd03b8db035ddd8ea80c4cb5?cid=ff14a0bc7f824e879d94d30736b0a1ac,Pem Sina,https://i.scdn.co/image/ab67616d0000b2734709378d4d64216eb0716866,0.636,0.512,0.653,100.12,0.723,0.000722,0.11,-11.047,0.0498,2,1,4,0,2022-02-18,4,Neutral
5FP1lEjrnBdN3hrhsTJkVx,4azqWrxW3UeG1eSCWLBJzk,Mayam Seya - Thilira Remix,"Chathum Dulara, Thilira Mannapperuma","2szhCD9ClpXgsI1LnK4HFi, 4VEMGwa5VV3NMgzl1BYF62",https://p.scdn.co/mp3-preview/34cd4bd9cdb87cb048f933516254f61517b84e4d?cid=ff14a0bc7f824e879d94d30736b0a1ac,Mayam Seya (Thilira Remix),https://i.scdn.co/image/ab67616d0000b2737c7a0ff046ed38b7d176992b,0.788,0.735,0.257,106.046,0.267,0.0178,0.173,-9.112,0.0826,10,0,4,4,2022-05-13,0,Happy
5FP1lEjrnBdN3hrhsTJkVx,03M4Qnf1rMvaa1fF04v5fp,Alu Roo,Mahiru Senarathne,3Od0SSFki2d6U1jnmoUaBC,https://p.scdn.co/mp3-preview/58e62ac9e3162a4798d37537168f8dbb6353c6e6?cid=ff14a0bc7f824e879d94d30736b0a1ac,Alu Roo,https://i.scdn.co/image/ab67616d0000b273cc32e58f15a23c7760067dfa,0.602,0.41,0.215,79.976,0.554,0.158,0.119,-11.891,0.0489,11,0,4,24,2022-02-28,2,Relaxed
5SKj9NPWQUYL4esNbi8cmN,4hCQyERGvC7WmDuKMKy3Nu,Shrungari,Sachith Amaranayake,1RMJgVWer3MhWhnmNWw1gp,https://p.scdn.co/mp3-preview/c74e303a433d80dcaf453ba145813ce3b8a734bd?cid=ff14a0bc7f824e879d94d30736b0a1ac,Shrungari,https://i.scdn.co/image/ab67616d0000b273772ee6e7fccaa0299321d788,0.406,0.496,0.139,147.098,0.739,3.11e-06,0.13,-10.075,0.0385,8,0,4,0,2024-09-13,6,Melancholic
5SKj9NPWQUYL4esNbi8cmN,1nr2fSJrGI4776uDRWdMRj,Ambare - Lofi Flip,"Mahiru Senarathne, Rashan Balasooriya","3Od0SSFki2d6U1jnmoUaBC, 7y9m5o4dJ6jmxeUqYo9azF",https://p.scdn.co/mp3-preview/da648db154af6afaf50fdf1a43e9710b4fea689e?cid=ff14a0bc7f824e879d94d30736b0a1ac,Ambare - Lofi Flip,https://i.scdn.co/image/ab67616d0000b27326753af666b9a81d5616d58e,0.487,0.63,0.187,139.887,0.515,0.0766,0.238,-6.808,0.0663,0,0,4,0,2024-09-13,6,Melancholic
5SKj9NPWQUYL4esNbi8cmN,4GSZjZ7KWBZaX1ViAtytku,Numba Ma Laye Sitiya,"Hasindu Bhanuka, Shavindya Kariyawasam","6eUWLaswxz12xe5cfQ0RlD, 0xW7XKb8ysmQAj6OrpcHve",https://p.scdn.co/mp3-preview/bc96628c35ba588efc82f01b376da13e1ffd2531?cid=ff14a0bc7f824e879d94d30736b0a1ac,Numba Ma Laye Sitiya,https://i.scdn.co/image/ab67616d0000b273463277632d2999dfb3232008,0.376,0.278,0.336,148.294,0.962,0.135,0.074,-14.332,0.0301,5,1,4,2,2024-09-11,6,Melancholic
5SKj9NPWQUYL4esNbi8cmN,1R11PWEjZpcDd4Om7MEYVA,Hitha Hadanna Ba,Chathum Dulara,2szhCD9ClpXgsI1LnK4HFi,https://p.scdn.co/mp3-preview/6d3e5ee6eec9537da95e073c5d0f469fa7e17a36?cid=ff14a0bc7f824e879d94d30736b0a1ac,Hitha Hadanna Ba,https://i.scdn.co/image/ab67616d0000b27392e60e1330b59180a6194245,0.672,0.464,0.448,195.928,0.393,0.208,0.258,-9.045,0.116,11,0,4,5,2024-08-23,5,Thoughtful
5SKj9NPWQUYL4esNbi8cmN,2CMoRe4KajI6N3ct27eYKY,Ape Kathandare,"Dhyan Hewage, Jayss","3ES7kGNf8O344XSDG3kW8G, 3tB7kmmUse1IgZsSAljkd5",https://p.scdn.co/mp3-preview/eeadb3f81b6d3386b93a948bc851fbc9220c36b1?cid=ff14a0bc7f824e879d94d30736b0a1ac,Ape Kathandare,https://i.scdn.co/image/ab67616d0000b27304e7956aa325b3653a15c2f1,0.354,0.6,0.181,83.565,0.32,5.08e-06,0.36,-6.884,0.0357,5,0,4,48,2024-07-19,8,Upset
5SKj9NPWQUYL4esNbi8cmN,37H81aUcVPPKVDplvOmdcI,Paara Sina,"Shavindya Kariyawasam, Chathum Dulara","0xW7XKb8ysmQAj6OrpcHve, 2szhCD9ClpXgsI1LnK4HFi",https://p.scdn.co/mp3-preview/8795b23a7e88096ddb1e315301de8ca668320854?cid=ff14a0bc7f824e879d94d30736b0a1ac,Paara Sina,https://i.scdn.co/image/ab67616d0000b273eaf114318e611ecdaf84fdcb,0.597,0.272,0.598,122.725,0.835,5.4e-05,0.116,-15.239,0.037,6,0,4,10,2024-06-28,9,Sad
5SKj9NPWQUYL4esNbi8cmN,4Kb0erg3Ezv7fDG4NVlIV1,Awasheshayan,"Mahiru Senarathne, Rashan Balasooriya","3Od0SSFki2d6U1jnmoUaBC, 7y9m5o4dJ6jmxeUqYo9azF",https://p.scdn.co/mp3-preview/62cdd1235befe3ad496f6b1ebdc121c00573ce7a?cid=ff14a0bc7f824e879d94d30736b0a1ac,Awasheshayan,https://i.scdn.co/image/ab67616d0000b273260ceaee88297d58f01a2236,0.556,0.517,0.335,121.985,0.838,0.0954,0.267,-9.743,0.0456,11,0,4,30,2024-03-28,9,Sad
5SKj9NPWQUYL4esNbi8cmN,3z1sqjH0B4EQRP3bba0K00,Kiyaapan,"Anushka Udana, Yashodha Adhikari, Chamath Sangeeth","0zJOY7KeiOgOIGQ150u7hz, 5v0eVgHlvREljFOZpZBxLU, 3Bej6ikcqBylMRbkX1DKpu",https://p.scdn.co/mp3-preview/a3f192fd33030d7e09edcf868f0e0923875b4c63?cid=ff14a0bc7f824e879d94d30736b0a1ac,Kiyaapan,https://i.scdn.co/image/ab67616d0000b273e573c8e3f02c00090f82be18,0.62,0.351,0.287,89.92,0.856,0.0,0.137,-12.283,0.0667,7,0,4,43,2024-06-28,4,Neutral
